Topic,Words,Probabilities
Topic 40,"fire, fires, fwi, forest, risk, escaped, madagascar, vegetation, savannas, ignition","0.06252603636291804, 0.022809973470571038, 0.020888086545349734, 0.01676580931708186, 0.015358566394878497, 0.014493774337589612, 0.010594920216363029, 0.010027313011496546, 0.009522784393761962, 0.009385288957158176"
Topic 41,"foraging, boldness, breeding, niche, seabirds, weimerskirch, albatrosses, species, gha, personality","0.026144020991593707, 0.021379411020426533, 0.020450567276991516, 0.017774302479437832, 0.015656168355738565, 0.011268994332131617, 0.010558241188700732, 0.009258258776604114, 0.009124244595305371, 0.008541261532319601"
Topic 42,"islands, atolls, atoll, species, archipelago, endemics, speciation, biogeography, archipelagos, eigenfunctions","0.04860380151253914, 0.027672356956773746, 0.01919075847171651, 0.014667097988877584, 0.012777696892169428, 0.012518052488870765, 0.012445430099557687, 0.011751794377329197, 0.010382249905176276, 0.009225969979713386"
Topic 43,"edna, metabarcoding, dna, fish, biodiversity, coral, replicates, reef, reefs, mifish","0.04661245581573138, 0.01578726043229703, 0.014054037280280337, 0.013282278516808762, 0.013037372046739415, 0.012303107339591737, 0.011983616554086592, 0.011421934502690263, 0.009937420715792145, 0.00907444602594839"
Topic 44,"urban, urbanization, phenotypic, urbanised, habitats, adaptation, populations, evolutionary, traits, phylogenetic","0.06047745683966631, 0.019689376279942564, 0.012819474681866854, 0.012530373456926848, 0.011615015094629491, 0.011360733973116217, 0.009779447281910686, 0.009273545801653833, 0.008605403763636804, 0.008110090764904189"
Topic 45,"host, zonata, species, dorsalis, tephritidae, flies, quilicii, plants, parasitism, invasions","0.027164080520803782, 0.023993785026201593, 0.02320482157102026, 0.02105769045677941, 0.017430437989622967, 0.015022499683704612, 0.014733671731259198, 0.014387459727318905, 0.011191734952264991, 0.009785510500768221"
Topic 46,"dives, seals, foraging, prey, diving, ice, sea, prcas, duration, benthic","0.04110656026480856, 0.03470912057946834, 0.025558800493951202, 0.022203270916340234, 0.021569157637261877, 0.01680957862577654, 0.013389980800515162, 0.01275159366586987, 0.011813238972070223, 0.010025885026196727"
Topic 47,"telomere, length, telomeres, body, tl, chick, lifespan, postnatal, survival, longevity","0.08085605246602993, 0.03026159632559112, 0.023669582210916557, 0.022855413815743433, 0.014506763620942845, 0.014354742341647249, 0.011665581280948726, 0.009945350533104028, 0.009379830362197271, 0.009361179431729743"
Topic 48,"phytoplankton, nutrient, growth, species, competitive, max, temperatures, tolerance, photosynthetic, moll1","0.028383429533619272, 0.02129816368476911, 0.014329001656675213, 0.013165747422797082, 0.01195631863758641, 0.011788003931300294, 0.009807328027761521, 0.009440590492911979, 0.00894935818497667, 0.008573288866874373"
Topic 49,"sperm, fertilization, ageing, ejaculate, reproductive, pht, paternal, fluviatilis, seminal, offspring","0.08950764628124906, 0.03272697845216897, 0.020627272020954844, 0.016709529690991713, 0.013433142508369947, 0.012513926330114857, 0.010686060029179127, 0.010650963233484505, 0.010633254768288282, 0.009692674014113823"
