Topic ID	Words	Probabilities
38	"""thermal"", ""lizard"", ""body"", ""day"", ""heat"""	0.026, 0.02, 0.017, 0.011, 0.011
39	"""age"", ""body"", ""male"", ""horn"", ""sex"""	0.023, 0.022, 0.021, 0.016, 0.011
40	"""litter"", ""biomass"", ""mixture"", ""soil"", ""crop"""	0.025, 0.018, 0.015, 0.015, 0.013
41	"""kf"", ""ﬁre"", ""vent"", ""deepsea"", ""mussel"""	0.016, 0.013, 0.013, 0.009, 0.008
42	"""aquaculture"", ""salinity"", ""wild"", ""turbidity"", ""warming"""	0.019, 0.019, 0.018, 0.011, 0.01
43	"""treeline"", ""spectabilis"", ""mortality"", ""boreal"", ""class"""	0.049, 0.014, 0.014, 0.009, 0.009
44	"""monitoring"", ""detection"", ""observer"", ""scenario"", ""cancer"""	0.022, 0.021, 0.015, 0.011, 0.01
45	"""synchrony"", ""nutrient"", ""bef"", ""pond"", ""limpet"""	0.016, 0.012, 0.012, 0.011, 0.008
46	"""disease"", ""ebola"", ""diaspores"", ""outbreak"", ""expansion"""	0.014, 0.013, 0.013, 0.012, 0.011
47	"""stream"", ""catchment"", ""concentration"", ""signature"", ""land"""	0.03, 0.025, 0.02, 0.019, 0.018
48	"""perturbation"", ""pmc"", ""funders"", ""europe"", ""bat"""	0.031, 0.025, 0.017, 0.014, 0.013
49	"""diatom"", ""sp"", ""marine"", ""sequence"", ""sea"""	0.016, 0.016, 0.015, 0.014, 0.013
50	"""sediment"", ""depth"", ""cm"", ""column"", ""layer"""	0.072, 0.056, 0.027, 0.021, 0.016
51	"""dna"", ""primer"", ""bat"", ""sequence"", ""metabarcoding"""	0.036, 0.029, 0.018, 0.017, 0.014
52	"""nutrient"", ""age"", ""biomass"", ""genetic"", ""body"""	0.0, 0.0, 0.0, 0.0, 0.0
53	"""root"", ""soil"", ""nutrient"", ""biomass"", ""fine"""	0.114, 0.041, 0.015, 0.015, 0.012
54	"""elephant"", ""extinction"", ""status"", ""dd"", ""bd"""	0.032, 0.018, 0.014, 0.013, 0.013
55	"""mite"", ""wolbachia"", ""spider"", ""infection"", ""versus"""	0.032, 0.024, 0.015, 0.014, 0.011
56	"""body"", ""metabolic"", ""fish"", ""trophic"", ""medaka"""	0.08, 0.07, 0.044, 0.023, 0.015
57	"""radiation"", ""exposure"", ""strain"", ""chernobyl"", ""genetic"""	0.068, 0.037, 0.036, 0.031, 0.029
58	"""seasonal"", ""season"", ""digestibility"", ""torpor"", ""body"""	0.013, 0.011, 0.011, 0.009, 0.009
59	"""bee"", ""honey"", ""pollen"", ""hornet"", ""flight"""	0.072, 0.039, 0.033, 0.017, 0.012
60	"""nutrient"", ""seed"", ""female"", ""soil"", ""dispersal"""	0.0, 0.0, 0.0, 0.0, 0.0
61	"""coffee"", ""ﬂowering"", ""coffea"", ""hybrid"", ""arabica"""	0.041, 0.027, 0.02, 0.019, 0.018
62	"""snp"", ""locus"", ""sequencing"", ""genome"", ""sequence"""	0.092, 0.058, 0.029, 0.024, 0.023
63	"""wing"", ""male"", ""snow"", ""female"", ""butterfly"""	0.017, 0.013, 0.013, 0.012, 0.011
64	"""metacommunity"", ""compositional"", ""geographic"", ""synchrony"", ""regional"""	0.029, 0.016, 0.01, 0.009, 0.009
65	"""niche"", ""breadth"", ""beaugrand"", ""dimension"", ""assemblage"""	0.116, 0.015, 0.014, 0.011, 0.01
66	"""insect"", ""dog"", ""hunting"", ""butterfly"", ""chile"""	0.032, 0.019, 0.012, 0.011, 0.011
67	"""dispersal"", ""scenario"", ""choice"", ""disperse"", ""juvenile"""	0.316, 0.016, 0.012, 0.012, 0.012
68	"""drought"", ""aegypti"", ""larval"", ""ae"", ""parasitoid"""	0.028, 0.024, 0.022, 0.019, 0.017
69	"""female"", ""manuscrit"", ""dauteur"", ""egg"", ""moth"""	0.024, 0.014, 0.013, 0.013, 0.013
70	"""algae"", ""co"", ""elevated"", ""pco"", ""ocean"""	0.021, 0.018, 0.017, 0.016, 0.013
71	"""network"", ""strength"", ""social"", ""betweenness"", ""matrix"""	0.063, 0.029, 0.023, 0.021, 0.009
72	"""lipid"", ""marine"", ""acid"", ""fatty"", ""carbon"""	0.014, 0.012, 0.011, 0.011, 0.01
73	"""gene"", ""genome"", ""read"", ""sequence"", ""httpsdoiorg"""	0.026, 0.019, 0.009, 0.007, 0.007
74	"""plot"", ""assembly"", ""niche"", ""biotic"", ""richness"""	0.011, 0.009, 0.007, 0.006, 0.006
75	"""network"", ""association"", ""diet"", ""genotype"", ""pair"""	0.056, 0.022, 0.022, 0.013, 0.013
76	"""genetic"", ""phenotypic"", ""morph"", ""frequency"", ""fitness"""	0.014, 0.014, 0.01, 0.008, 0.007
77	"""spain"", ""mexico"", ""universidad"", ""del"", ""instituto"""	0.042, 0.03, 0.028, 0.024, 0.023
78	"""soil"", ""microbial"", ""root"", ""fungal"", ""fungi"""	0.128, 0.017, 0.016, 0.014, 0.014
79	"""richness"", ""assemblage"", ""land"", ""taxonomic"", ""climatic"""	0.017, 0.016, 0.014, 0.012, 0.009
80	"""stem"", ""herbivory"", ""crop"", ""herbivore"", ""seed"""	0.042, 0.04, 0.016, 0.012, 0.009
81	"""prey"", ""genetic"", ""foraging"", ""dispersal"", ""landscape"""	0.0, 0.0, 0.0, 0.0, 0.0
82	"""pollinator"", ""flower"", ""floral"", ""flowering"", ""pollination"""	0.058, 0.04, 0.037, 0.029, 0.019
83	"""landscape"", ""cover"", ""agricultural"", ""crop"", ""edge"""	0.08, 0.019, 0.017, 0.017, 0.014
84	"""fir"", ""damage"", ""isolates"", ""pst"", ""resistance"""	0.012, 0.011, 0.01, 0.01, 0.009
85	"""eﬀect"", ""coevolution"", ""compound"", ""eﬀects"", ""diﬀerent"""	0.018, 0.016, 0.015, 0.015, 0.012
86	"""biomass"", ""stability"", ""trophic"", ""loreau"", ""web"""	0.115, 0.079, 0.05, 0.042, 0.04
87	"""tommy"", ""helper"", ""cper"", ""gilman"", ""ceased"""	0.008, 0.004, 0.004, 0.004, 0.004
88	"""stand"", ""height"", ""plot"", ""dbh"", ""tropical"""	0.032, 0.026, 0.021, 0.017, 0.017
89	"""genetic"", ""gene"", ""genotype"", ""genetics"", ""generation"""	0.066, 0.011, 0.01, 0.01, 0.008
90	"""closure"", ""eco"", ""orchid"", ""periodic"", ""recovery"""	0.013, 0.011, 0.01, 0.008, 0.007
91	"""pal"", ""cold"", ""nam"", ""suzukii"", ""sam"""	0.021, 0.008, 0.008, 0.007, 0.007
92	"""partridge"", ""grey"", ""autocorrelation"", ""probabilistic"", ""posterior"""	0.036, 0.024, 0.014, 0.014, 0.013
93	"""fruit"", ""fly"", ""subsidy"", ""invasion"", ""flow"""	0.028, 0.027, 0.019, 0.017, 0.017
94	"""female"", ""gorilla"", ""buffer"", ""male"", ""woody"""	0.031, 0.022, 0.015, 0.012, 0.011
95	"""enemy"", ""insect"", ""aphid"", ""ladybird"", ""pest"""	0.052, 0.029, 0.024, 0.022, 0.022
96	"""invasion"", ""native"", ""wild"", ""alien"", ""intraspecific"""	0.032, 0.025, 0.018, 0.017, 0.015
97	"""mimicry"", ""colour"", ""microhabitat"", ""predator"", ""phenotype"""	0.035, 0.022, 0.015, 0.014, 0.014
98	"""thermal"", ""consumer"", ""warming"", ""phytoplankton"", ""nutrient"""	0.021, 0.017, 0.016, 0.015, 0.014
99	"""rodent"", ""rat"", ""rattus"", ""mammal"", ""mouse"""	0.033, 0.017, 0.016, 0.013, 0.013
100	"""cat"", ""duration"", ""stopover"", ""detection"", ""bird"""	0.015, 0.014, 0.012, 0.012, 0.008
101	"""cumming"", ""resilience"", ""protected"", ""biggs"", ""multiscale"""	0.019, 0.019, 0.014, 0.013, 0.011
102	"""seal"", ""isotopic"", ""diet"", ""isotope"", ""niche"""	0.041, 0.025, 0.025, 0.02, 0.016
103	"""seed"", ""seedling"", ""germination"", ""treatment"", ""adult"""	0.262, 0.053, 0.051, 0.013, 0.012
104	"""fruit"", ""lc"", ""seed"", ""ba"", ""nt"""	0.038, 0.031, 0.023, 0.018, 0.016
105	"""dispersal"", ""territory"", ""corridor"", ""marmot"", ""pixel"""	0.052, 0.022, 0.021, 0.014, 0.013
106	"""niche"", ""rhythm"", ""shark"", ""day"", ""breeding"""	0.017, 0.016, 0.014, 0.013, 0.011
107	"""owl"", ""predation"", ""vole"", ""lake"", ""pike"""	0.022, 0.015, 0.011, 0.011, 0.01
108	"""stickleback"", ""plated"", ""meadow"", ""bay"", ""weed"""	0.033, 0.018, 0.017, 0.015, 0.015
109	"""network"", ""river"", ""antarctic"", ""node"", ""downstream"""	0.051, 0.013, 0.009, 0.008, 0.007
110	"""feather"", ""hg"", ""skua"", ""zinc"", ""exposure"""	0.049, 0.036, 0.028, 0.02, 0.019
111	"""coral"", ""reef"", ""symbiodinium"", ""bacterial"", ""ph"""	0.071, 0.016, 0.009, 0.008, 0.008
112	"""river"", ""invertebrate"", ""freshwater"", ""drying"", ""stream"""	0.021, 0.011, 0.01, 0.01, 0.009
113	"""mortality"", ""adult"", ""female"", ""juvenile"", ""hunting"""	0.019, 0.016, 0.012, 0.012, 0.011
114	"""niche"", ""native"", ""invasive"", ""invasion"", ""europe"""	0.034, 0.032, 0.025, 0.013, 0.009
115	"""male"", ""female"", ""sex"", ""mating"", ""reproductive"""	0.1, 0.077, 0.036, 0.031, 0.025
116	"""marine"", ""native"", ""complexity"", ""allelopathic"", ""viard"""	0.016, 0.012, 0.01, 0.009, 0.009
117	"""larva"", ""larval"", ""adult"", ""northern"", ""southern"""	0.076, 0.052, 0.025, 0.024, 0.019
118	"""patch"", ""acclimation"", ""body"", ""fruit"", ""genet"""	0.017, 0.017, 0.015, 0.015, 0.01
119	"""camera"", ""monitoring"", ""trap"", ""bat"", ""video"""	0.02, 0.015, 0.01, 0.008, 0.008
120	"""island"", ""archipelago"", ""biogeography"", ""dispersal"", ""endemic"""	0.232, 0.023, 0.018, 0.013, 0.013
121	"""phylogenetic"", ""phylogeny"", ""signal"", ""diversification"", ""clade"""	0.094, 0.029, 0.014, 0.012, 0.012
122	"""atoll"", ""tion"", ""speciation"", ""hybrid"", ""ing"""	0.021, 0.02, 0.018, 0.017, 0.016
123	"""hidden"", ""markov"", ""boldness"", ""wing"", ""hmms"""	0.016, 0.015, 0.014, 0.012, 0.012
124	"""richness"", ""depth"", ""isolation"", ""island"", ""fragment"""	0.119, 0.023, 0.017, 0.014, 0.013
125	"""grazing"", ""facilitation"", ""height"", ""path"", ""thermal"""	0.023, 0.02, 0.012, 0.01, 0.01
126	"""lm"", ""street"", ""sultana"", ""aquatic"", ""service"""	0.016, 0.012, 0.009, 0.008, 0.008
127	"""soil"", ""nutrient"", ""nitrogen"", ""concentration"", ""substrate"""	0.042, 0.035, 0.023, 0.015, 0.012
128	"""bird"", ""predation"", ""arthropod"", ""predator"", ""avian"""	0.148, 0.032, 0.032, 0.02, 0.018
129	"""tit"", ""great"", ""blue"", ""clutch"", ""laying"""	0.064, 0.033, 0.028, 0.016, 0.014
130	"""lion"", ""body"", ""sex"", ""wild"", ""male"""	0.04, 0.029, 0.017, 0.014, 0.014
131	"""nutrient"", ""cycling"", ""web"", ""primary"", ""producer"""	0.065, 0.018, 0.016, 0.014, 0.012
132	"""soil"", ""female"", ""litter"", ""leaf"", ""genetic"""	0.0, 0.0, 0.0, 0.0, 0.0
133	"""breeding"", ""age"", ""bird"", ""capture"", ""pradel"""	0.039, 0.024, 0.013, 0.012, 0.011
134	"""telomere"", ""body"", ""bird"", ""lifespan"", ""mechanical"""	0.065, 0.015, 0.013, 0.01, 0.009
135	"""sperm"", ""fertilization"", ""male"", ""fluviatilis"", ""egg"""	0.08, 0.059, 0.027, 0.015, 0.014
136	"""shark"", ""ocean"", ""pacific"", ""indian"", ""genetic"""	0.029, 0.015, 0.013, 0.012, 0.01
137	"""lake"", ""nutritional"", ""geneva"", ""annecy"", ""nutrient"""	0.104, 0.024, 0.011, 0.01, 0.01
138	"""stream"", ""leaf"", ""shredder"", ""aquatic"", ""concentration"""	0.05, 0.029, 0.017, 0.016, 0.015
139	"""dispersal"", ""landscape"", ""patch"", ""fragmentation"", ""adult"""	0.027, 0.026, 0.017, 0.009, 0.008
140	"""strain"", ""competitive"", ""colonization"", ""marginal"", ""phenotypic"""	0.009, 0.009, 0.008, 0.007, 0.007
141	"""fish"", ""reef"", ""coral"", ""marine"", ""season"""	0.079, 0.063, 0.037, 0.011, 0.01
142	"""occupancy"", ""frequency"", ""gene"", ""detection"", ""replicates"""	0.026, 0.018, 0.012, 0.011, 0.009
143	"""queen"", ""genetic"", ""pedigree"", ""ecotype"", ""savanna"""	0.015, 0.014, 0.013, 0.013, 0.011
144	"""antibody"", ""disease"", ""exposure"", ""kin"", ""serological"""	0.023, 0.012, 0.012, 0.01, 0.01
145	"""plasticity"", ""phenotypic"", ""fitness"", ""slope"", ""syndrome"""	0.052, 0.031, 0.026, 0.01, 0.009
146	"""female"", ""reproductive"", ""age"", ""offspring"", ""breeding"""	0.077, 0.057, 0.034, 0.02, 0.016
147	"""foraging"", ""dive"", ""behavior"", ""prey"", ""seal"""	0.092, 0.039, 0.026, 0.024, 0.023
148	"""atlantic"", ""north"", ""south"", ""introduced"", ""native"""	0.156, 0.121, 0.043, 0.041, 0.035
149	"""velocity"", ""attack"", ""appendix"", ""mask"", ""filament"""	0.015, 0.013, 0.012, 0.011, 0.01
150	"""sperm"", ""male"", ""pair"", ""extra"", ""ageing"""	0.032, 0.022, 0.021, 0.017, 0.017
151	"""microbial"", ""otus"", ""network"", ""bacterial"", ""tank"""	0.05, 0.017, 0.015, 0.014, 0.014
152	"""leaf"", ""tropical"", ""drought"", ""crown"", ""canopy"""	0.053, 0.018, 0.01, 0.007, 0.007
153	"""body"", ""roe"", ""birth"", ""date"", ""gaillard"""	0.031, 0.026, 0.025, 0.025, 0.02
154	"""pesticide"", ""rabbit"", ""earthworm"", ""sdm"", ""soil"""	0.025, 0.013, 0.013, 0.011, 0.011
155	"""beetle"", ""weed"", ""bat"", ""insect"", ""roost"""	0.026, 0.011, 0.01, 0.009, 0.009
156	"""reserved"", ""protected"", ""copyright"", ""right"", ""citer"""	0.048, 0.047, 0.046, 0.046, 0.012
157	"""pityocampa"", ""med"", ""hybrid"", ""meam"", ""lineage"""	0.017, 0.016, 0.013, 0.013, 0.009
158	"""ant"", ""plot"", ""burned"", ""ﬁre"", ""worker"""	0.085, 0.015, 0.011, 0.01, 0.01
159	"""finch"", ""porpoise"", ""beak"", ""iberian"", ""ab"""	0.013, 0.012, 0.011, 0.01, 0.01
160	"""urban"", ""urbanization"", ""city"", ""mosquito"", ""rural"""	0.08, 0.02, 0.019, 0.013, 0.009
161	"""litter"", ""decomposition"", ""soil"", ""leaf"", ""mixture"""	0.084, 0.032, 0.019, 0.018, 0.008
162	"""surface"", ""lidar"", ""canopy"", ""cover"", ""catch"""	0.017, 0.016, 0.015, 0.015, 0.012
163	"""primer"", ""parasite"", ""breed"", ""read"", ""bird"""	0.017, 0.015, 0.014, 0.013, 0.012
164	"""patch"", ""segregation"", ""smr"", ""swimming"", ""service"""	0.016, 0.013, 0.012, 0.01, 0.01
165	"""soil"", ""shade"", ""service"", ""cocoa"", ""river"""	0.031, 0.021, 0.018, 0.014, 0.013
166	"""mixture"", ""biomass"", ""monoculture"", ""yield"", ""legume"""	0.04, 0.026, 0.026, 0.023, 0.023
167	"""heliconius"", ""subspecies"", ""clutch"", ""butterfly"", ""reproductive"""	0.025, 0.02, 0.019, 0.016, 0.015
168	"""sphagnum"", ""microbial"", ""moss"", ""peat"", ""peatland"""	0.027, 0.012, 0.009, 0.008, 0.008
169	"""richness"", ""web"", ""urbanization"", ""spider"", ""taxonomic"""	0.018, 0.015, 0.009, 0.009, 0.009
170	"""fish"", ""connectivity"", ""recruitment"", ""fishery"", ""biomass"""	0.025, 0.022, 0.019, 0.017, 0.012
171	"""patch"", ""equation"", ""equilibrium"", ""stochastic"", ""simulation"""	0.033, 0.025, 0.016, 0.016, 0.015
172	"""disturbance"", ""intensity"", ""biomass"", ""frequency"", ""regime"""	0.035, 0.009, 0.008, 0.008, 0.007
173	"""africa"", ""rhabdomys"", ""african"", ""southern"", ""south"""	0.025, 0.019, 0.016, 0.015, 0.012
174	"""carbon"", ""leaf"", ""photosynthetic"", ""vegetation"", ""httpsdoi"""	0.016, 0.009, 0.008, 0.006, 0.006
175	"""phylogenetic"", ""leaf"", ""herbivore"", ""host"", ""insect"""	0.032, 0.028, 0.023, 0.02, 0.019
176	"""uptake"", ""succession"", ""soil"", ""nitrogen"", ""nutrient"""	0.02, 0.016, 0.015, 0.014, 0.009
177	"""dissimilarity"", ""missing"", ""niche"", ""grassland"", ""web"""	0.019, 0.016, 0.015, 0.011, 0.009
178	"""host"", ""egg"", ""parasitoid"", ""parasitoids"", ""pathogen"""	0.037, 0.025, 0.02, 0.009, 0.008
179	"""seabird"", ""penguin"", ""breeding"", ""foraging"", ""albatross"""	0.024, 0.018, 0.016, 0.015, 0.013
180	"""people"", ""social"", ""service"", ""farmer"", ""practice"""	0.021, 0.013, 0.013, 0.012, 0.012
181	"""root"", ""fungal"", ""wheat"", ""weed"", ""sequence"""	0.049, 0.043, 0.031, 0.031, 0.025
182	"""cormorant"", ""fawn"", ""wintering"", ""marion"", ""bird"""	0.023, 0.023, 0.021, 0.018, 0.013
183	"""mortality"", ""precipitation"", ""uncertainty"", ""climatic"", ""simulation"""	0.012, 0.01, 0.009, 0.008, 0.008
184	"""tlr"", ""bat"", ""solar"", ""nobilis"", ""oyster"""	0.019, 0.016, 0.014, 0.012, 0.01
185	"""leaf"", ""herbivore"", ""insect"", ""herbivory"", ""oak"""	0.033, 0.024, 0.023, 0.018, 0.013
186	"""stage"", ""age"", ""sex"", ""parental"", ""fish"""	0.047, 0.043, 0.037, 0.031, 0.019
187	"""movement"", ""sensor"", ""speed"", ""path"", ""home"""	0.133, 0.022, 0.017, 0.015, 0.014
188	"""marine"", ""sea"", ""protected"", ""mpas"", ""fishery"""	0.089, 0.023, 0.021, 0.017, 0.017
189	"""database"", ""record"", ""name"", ""expert"", ""primary"""	0.013, 0.01, 0.007, 0.006, 0.005
190	"""bm"", ""novelty"", ""mb"", ""bb"", ""bp"""	0.076, 0.023, 0.017, 0.015, 0.014
191	"""root"", ""bm"", ""dispersal"", ""richness"", ""phylogenetic"""	0.0, 0.0, 0.0, 0.0, 0.0
192	"""oxidative"", ""bird"", ""carotenoid"", ""antioxidant"", ""coloration"""	0.053, 0.045, 0.028, 0.021, 0.02
193	"""jf"", ""mbio"", ""outer"", ""slope"", ""reef"""	0.108, 0.028, 0.027, 0.027, 0.027
194	"""preprint"", ""biorxiv"", ""edge"", ""copyright"", ""holder"""	0.07, 0.042, 0.038, 0.023, 0.022
195	"""biol"", ""sci"", ""evol"", ""proc"", ""nat"""	0.076, 0.046, 0.035, 0.029, 0.022
196	"""genetic"", ""differentiation"", ""locus"", ""mlgs"", ""host"""	0.013, 0.009, 0.009, 0.008, 0.008
197	"""leaf"", ""niche"", ""litter"", ""http"", ""root"""	0.0, 0.0, 0.0, 0.0, 0.0
198	"""prey"", ""predator"", ""predation"", ""trophic"", ""web"""	0.084, 0.082, 0.031, 0.015, 0.014
199	"""behavioural"", ""behaviour"", ""season"", ""movement"", ""compensation"""	0.014, 0.011, 0.008, 0.007, 0.005
