Topic	Words	Probabilities
Topic 48	('mammal', 'maternal', 'reproductive', 'birth', 'growth', 'fitness', 'lateborn', 'cohort', 'yearlings', 'body')	(0.34225988, 0.3338687, 0.32010323, 0.30925173, 0.27439302, 0.26007012, 0.25664103, 0.25562048, 0.24353197, 0.24050985)
Topic 49	('fisheries', 'ecosystem', 'ecosystems', 'ecosystembased', 'biodiversity', 'oceans', 'conservation', 'marine', 'sustainable', 'climate')	(0.5415158, 0.52755797, 0.49586666, 0.4917869, 0.4165575, 0.4163897, 0.4031042, 0.3965128, 0.3816244, 0.37546933)
Topic 50	('larvae', 'microbial', 'lepidoptera', 'larval', 'microbiota', 'microorganisms', 'bacteria', 'antimicrobial', 'bacterial', 'silk')	(0.5054623, 0.43918484, 0.4168728, 0.39690548, 0.39425775, 0.39305577, 0.3659467, 0.3527523, 0.346079, 0.3399093)
Topic 51	('grassland', 'weeds', 'grasslands', 'landscape', 'landscapes', 'crops', 'biodiversity', 'habitats', 'farmland', 'crop')	(0.48294878, 0.45910057, 0.44598353, 0.43564144, 0.43327832, 0.42846704, 0.4123612, 0.4060408, 0.38637534, 0.35472086)
Topic 52	('genotypes', 'heterozygosity', 'genotyped', 'microsatellite', 'genetic', 'alleles', 'populations', 'genepop', 'hardyweinberg', 'population')	(0.59855556, 0.57047904, 0.54481924, 0.5098436, 0.47685772, 0.4565754, 0.41219652, 0.29336172, 0.2798258, 0.274719)
Topic 53	('genotypes', 'genotype', 'reproduction', 'genetic', 'reproductive', 'asexual', 'inbreeding', 'genes', 'offspring', 'heritability')	(0.54628694, 0.5271721, 0.49244547, 0.4901461, 0.48723707, 0.47725153, 0.40662593, 0.36077702, 0.35669956, 0.33998)
Topic 54	('microsatellite', 'genetic', 'bass', 'haplotypes', 'populations', 'metapopulations', 'metapopulation', 'sea', 'fish', 'mediterranean')	(0.3572314, 0.33115333, 0.31742483, 0.31720716, 0.31718165, 0.3025209, 0.28852445, 0.2758464, 0.27327827, 0.25513613)
Topic 55	('fires', 'fire', 'wildfire', 'firelihood', 'fireweather', 'ecological', 'forest', 'simulations', 'danger', 'areas')	(0.5272435, 0.41706306, 0.40071666, 0.30005687, 0.27608258, 0.25906056, 0.24702767, 0.24492556, 0.24384914, 0.2384344)
Topic 56	('invasions', 'invaders', 'species', 'invasive', 'invasiveness', 'invasion', 'invaded', 'ecosystem', 'ecosystems', 'aliens')	(0.58538866, 0.4889782, 0.4845901, 0.48273855, 0.4794301, 0.47358778, 0.40882343, 0.38865426, 0.3849453, 0.35465562)
Topic 57	('shark', 'sharks', 'fisheries', 'tiger', 'bull', 'genetic', 'populations', 'microsatellite', 'carcharhinus', 'haplotype')	(0.5251092, 0.5212919, 0.34041595, 0.31586576, 0.29144746, 0.28589815, 0.28349808, 0.28091952, 0.23305655, 0.2234771)
Topic 58	('rmse', 'rmseall', 'biasall', 'bias', 'simulation', 'models', 'simulations', 'model', 'modeling', 'estimated')	(0.50469494, 0.36794597, 0.30959582, 0.2818457, 0.28110874, 0.2768102, 0.2564811, 0.25413516, 0.2540253, 0.23947309)
Topic 59	('insectivorous', 'taxonomic', 'bats', 'arthropod', 'primer', 'primers', 'bat', 'rhinolophus', 'prey', 'primerminer')	(0.48477614, 0.4593822, 0.41675478, 0.32801342, 0.31335953, 0.31327298, 0.30168253, 0.2990935, 0.28455865, 0.25832012)
Topic 60	('seals', 'dives', 'diving', 'dive', 'foraging', 'prey', 'seal', 'underwater', 'sea', 'seafloor')	(0.5351212, 0.43821007, 0.4323381, 0.41206685, 0.41155702, 0.38091922, 0.3589602, 0.34618467, 0.2870652, 0.27993774)
Topic 61	('pollinators', 'pollination', 'pollinator', 'species', 'herbivores', 'plants', 'interactions', 'taxonomic', 'networks', 'mutualistic')	(0.53870475, 0.49600455, 0.4763415, 0.45662415, 0.4007399, 0.3714761, 0.36484197, 0.34917396, 0.32712346, 0.3157186)
Topic 62	('snails', 'snail', 'warming', 'temperatures', 'warmer', 'temperature', 'habitats', 'shells', 'mating', 'habitat')	(0.4895053, 0.465784, 0.41103244, 0.35278678, 0.34192562, 0.3327128, 0.31409532, 0.29012874, 0.2875977, 0.27055642)
Topic 63	('dispersal', 'species', 'coexistence', 'habitat', 'abundance', 'diversity', 'communities', 'intransitivity', 'competitive', 'metacommunities')	(0.5457882, 0.4518487, 0.40280157, 0.38816762, 0.36106354, 0.35719872, 0.2869808, 0.27877322, 0.27658856, 0.25588605)
