Topic ID	Words	Probabilities
37	"""lc"", ""extinction"", ""missing"", ""ba"", ""nt"", ""database"", ""occurrence"", ""iucn"", ""status"", ""dd"""	0.014, 0.012, 0.009, 0.008, 0.008, 0.008, 0.007, 0.007, 0.007, 0.007
38	"""phylogenetic"", ""phylogeny"", ""niche"", ""diversification"", ""speciation"", ""signal"", ""clade"", ""genus"", ""lineage"", ""extinction"""	0.049, 0.014, 0.012, 0.009, 0.008, 0.008, 0.007, 0.006, 0.006, 0.005
39	"""connectivity"", ""landscape"", ""patch"", ""fishery"", ""movement"", ""corridor"", ""catch"", ""cancer"", ""dispersal"", ""drought"""	0.042, 0.022, 0.014, 0.013, 0.011, 0.01, 0.009, 0.009, 0.008, 0.007
40	"""service"", ""people"", ""social"", ""cultural"", ""heritage"", ""policy"", ""practice"", ""land"", ""economic"", ""place"""	0.012, 0.011, 0.007, 0.006, 0.006, 0.006, 0.005, 0.004, 0.004, 0.004
41	"""breeding"", ""capturerecapture"", ""pradel"", ""gull"", ""recapture"", ""detection"", ""bird"", ""capture"", ""occasion"", ""ﬁrst"""	0.015, 0.008, 0.008, 0.007, 0.007, 0.007, 0.007, 0.007, 0.005, 0.005
42	"""telomere"", ""larva"", ""bird"", ""treatment"", ""larval"", ""oxidative"", ""cell"", ""protein"", ""radiation"", ""stress"""	0.018, 0.009, 0.008, 0.007, 0.006, 0.006, 0.006, 0.006, 0.005, 0.005
43	"""litter"", ""soil"", ""dive"", ""decomposition"", ""microbial"", ""seal"", ""carbon"", ""nitrogen"", ""compound"", ""needle"""	0.027, 0.021, 0.01, 0.01, 0.007, 0.007, 0.006, 0.006, 0.005, 0.004
44	"""na"", ""shark"", ""nematode"", ""bull"", ""australia"", ""pacific"", ""carcharhinus"", ""graminicola"", ""stage"", ""cyst"""	0.074, 0.044, 0.022, 0.008, 0.006, 0.006, 0.006, 0.005, 0.005, 0.005
45	"""patch"", ""turtle"", ""vegetation"", ""http"", ""restoration"", ""nesting"", ""ﬁre"", ""exposure"", ""translocation"", ""green"""	0.011, 0.01, 0.007, 0.007, 0.007, 0.006, 0.006, 0.006, 0.005, 0.005
46	"""fish"", ""seed"", ""reef"", ""island"", ""coral"", ""season"", ""subgroup"", ""behavior"", ""dark"", ""ungulate"""	0.022, 0.02, 0.009, 0.008, 0.007, 0.007, 0.006, 0.005, 0.005, 0.005
47	"""trophic"", ""web"", ""nutrient"", ""biomass"", ""consumer"", ""stability"", ""fish"", ""body"", ""functioning"", ""primary"""	0.02, 0.019, 0.017, 0.016, 0.011, 0.009, 0.008, 0.008, 0.006, 0.006
48	"""simulation"", ""equation"", ""equilibrium"", ""demographic"", ""perturbation"", ""matrix"", ""scenario"", ""theoretical"", ""stochastic"", ""appendix"""	0.01, 0.007, 0.007, 0.007, 0.007, 0.006, 0.006, 0.006, 0.005, 0.005
49	"""genetic"", ""gene"", ""locus"", ""snp"", ""genome"", ""allele"", ""genotype"", ""phenotypic"", ""genetics"", ""dna"""	0.03, 0.022, 0.016, 0.013, 0.011, 0.009, 0.009, 0.008, 0.007, 0.006
50	"""mortality"", ""bird"", ""season"", ""treeline"", ""winter"", ""adult"", ""migration"", ""copy"", ""capture"", ""spring"""	0.014, 0.012, 0.011, 0.011, 0.008, 0.008, 0.008, 0.007, 0.007, 0.007
51	"""jf"", ""reef"", ""reu"", ""swio"", ""mbio"", ""slope"", ""outer"", ""nosy"", ""fish"", ""inner"""	0.055, 0.016, 0.015, 0.014, 0.014, 0.014, 0.013, 0.013, 0.013, 0.01
52	"""sphagnum"", ""depth"", ""diatom"", ""sediment"", ""arctic"", ""marine"", ""sea"", ""peatland"", ""peat"", ""moss"""	0.014, 0.008, 0.007, 0.006, 0.005, 0.005, 0.005, 0.005, 0.004, 0.004
53	"""soil"", ""carbon"", ""fungal"", ""fungi"", ""nutrient"", ""root"", ""mycorrhizal"", ""concentration"", ""nitrogen"", ""confidential"""	0.026, 0.017, 0.016, 0.012, 0.01, 0.009, 0.006, 0.006, 0.006, 0.006
54	"""coral"", ""marine"", ""reef"", ""ocean"", ""fish"", ""sea"", ""mpas"", ""ph"", ""protected"", ""coastal"""	0.031, 0.03, 0.017, 0.01, 0.008, 0.008, 0.006, 0.005, 0.005, 0.004
55	"""bd"", ""compositional"", ""rape"", ""multifunctionality"", ""metacommunity"", ""biomass"", ""yield"", ""shade"", ""agb"", ""cocoa"""	0.014, 0.013, 0.011, 0.011, 0.011, 0.011, 0.01, 0.01, 0.01, 0.009
56	"""prey"", ""predator"", ""predation"", ""patch"", ""predatorprey"", ""biomass"", ""attack"", ""trophic"", ""strength"", ""larva"""	0.15, 0.131, 0.072, 0.019, 0.013, 0.012, 0.01, 0.009, 0.008, 0.007
57	"""river"", ""aquatic"", ""stream"", ""freshwater"", ""flow"", ""network"", ""riparian"", ""terrestrial"", ""upstream"", ""downstream"""	0.044, 0.022, 0.021, 0.017, 0.017, 0.009, 0.008, 0.008, 0.007, 0.007
58	"""genetic"", ""molecular"", ""dna"", ""sequence"", ""gene"", ""cluster"", ""primer"", ""differentiation"", ""locus"", ""marker"""	0.026, 0.01, 0.009, 0.007, 0.007, 0.007, 0.006, 0.006, 0.006, 0.006
59	"""camera"", ""snow"", ""wheat"", ""weed"", ""lemming"", ""partridge"", ""mycobiota"", ""cover"", ""winter"", ""trap"""	0.02, 0.013, 0.011, 0.01, 0.009, 0.009, 0.009, 0.008, 0.008, 0.008
60	"""mimicry"", ""wing"", ""colour"", ""mixture"", ""butterfly"", ""phenotype"", ""monoculture"", ""microhabitat"", ""legume"", ""ring"""	0.019, 0.014, 0.013, 0.012, 0.011, 0.009, 0.007, 0.007, 0.007, 0.006
61	"""ant"", ""bm"", ""male"", ""behavioural"", ""nest"", ""diploid"", ""parasitoid"", ""female"", ""dejean"", ""behaviour"""	0.035, 0.022, 0.011, 0.011, 0.009, 0.007, 0.007, 0.006, 0.006, 0.006
62	"""foraging"", ""flight"", ""colony"", ""bird"", ""behavior"", ""speed"", ""behaviour"", ""trip"", ""movement"", ""record"""	0.051, 0.018, 0.017, 0.016, 0.016, 0.013, 0.011, 0.009, 0.009, 0.009
63	"""stage"", ""gorilla"", ""female"", ""desiccation"", ""adult"", ""male"", ""ebola"", ""dispersal"", ""western"", ""embryo"""	0.014, 0.013, 0.013, 0.01, 0.008, 0.005, 0.005, 0.005, 0.005, 0.005
64	"""occupancy"", ""nutritional"", ""locust"", ""social"", ""nutrient"", ""mrt"", ""simpson"", ""detection"", ""lls"", ""reproductive"""	0.024, 0.019, 0.008, 0.007, 0.007, 0.006, 0.006, 0.006, 0.005, 0.005
65	"""fire"", ""crop"", ""pollinator"", ""pollination"", ""service"", ""yield"", ""agricultural"", ""seminatural"", ""scheme"", ""landscape"""	0.043, 0.033, 0.025, 0.019, 0.015, 0.008, 0.007, 0.007, 0.007, 0.006
66	"""pal"", ""tabaci"", ""med"", ""isotope"", ""muscle"", ""sexual"", ""ssa"", ""aa"", ""meam"", ""isotopic"""	0.018, 0.013, 0.012, 0.011, 0.011, 0.009, 0.009, 0.008, 0.008, 0.008
67	"""host"", ""egg"", ""insect"", ""parasitoid"", ""parasitoids"", ""wasp"", ""pollinator"", ""sp"", ""parasitism"", ""caterpillar"""	0.03, 0.015, 0.015, 0.014, 0.013, 0.011, 0.009, 0.006, 0.006, 0.006
68	"""social"", ""movement"", ""detection"", ""strength"", ""observer"", ""monitoring"", ""edna"", ""betweenness"", ""http"", ""sensor"""	0.012, 0.009, 0.007, 0.005, 0.005, 0.005, 0.005, 0.005, 0.004, 0.004
69	"""aphid"", ""cti"", ""trophic"", ""winter"", ""parasitoid"", ""cereal"", ""ervi"", ""crop"", ""avenae"", ""adult"""	0.02, 0.016, 0.013, 0.012, 0.011, 0.01, 0.01, 0.009, 0.007, 0.007
