Topic	Words	Probabilities
Topic 42	('phylogenetic', 'phylogeny', 'clades', 'clade', 'species', 'evolutionary', 'lineage', 'diversity', 'abundances', 'traits')	(0.62395203, 0.5493626, 0.5035144, 0.47772732, 0.4545885, 0.36643875, 0.36231536, 0.32966197, 0.2950958, 0.27730432)
Topic 43	('wasps', 'wasp', 'pollinators', 'figs', 'pollinator', 'fig', 'insects', 'species', 'parasitoids', 'trees')	(0.5294852, 0.47142914, 0.46090668, 0.4225991, 0.41038758, 0.3955851, 0.39045194, 0.38549387, 0.3806142, 0.3372704)
Topic 44	('telomeres', 'telomere', 'telomerase', 'lifespan', 'phylogeny', 'longevity', 'phylogenetic', 'reproduction', 'offspring', 'lengths')	(0.57828575, 0.50077516, 0.45415133, 0.35693398, 0.34062925, 0.31261188, 0.30159423, 0.30054003, 0.29437327, 0.26776952)
Topic 45	('fisheries', 'fishery', 'fishing', 'fished', 'ecosystem', 'fish', 'metapopulation', 'catches', 'dispersal', 'species')	(0.6432613, 0.62933505, 0.50283, 0.4353414, 0.4080731, 0.38493747, 0.35206598, 0.34983373, 0.34119847, 0.32647908)
Topic 46	('biodiversity', 'taxonomic', 'ecology', 'species', 'reefs', 'reef', 'phylogenetic', 'coral', 'fish', 'ocean')	(0.53178823, 0.48033026, 0.4567806, 0.427772, 0.409612, 0.39656657, 0.38090026, 0.35148752, 0.31959033, 0.31416252)
Topic 47	('immunity', 'immune', 'vaccine', 'vaccination', 'antibody', 'antibodies', 'breeding', 'vaccinated', 'infectious', 'deer')	(0.5420785, 0.47241527, 0.4381749, 0.39912397, 0.36167255, 0.35751727, 0.35680866, 0.35036588, 0.3057204, 0.30197206)
Topic 48	('aphids', 'aphid', 'parasitoids', 'parasitoid', 'aphidius', 'parasitism', 'predators', 'herbivore', 'predator', 'enemies')	(0.6394013, 0.6118064, 0.58540374, 0.53176886, 0.47135633, 0.42844424, 0.3696067, 0.35683286, 0.32221895, 0.2635315)
Topic 49	('drosophila', 'yakuba', 'strains', 'species', 'mating', 'pigmentation', 'santomea', 'flies', 'ventral', 'bcyak')	(0.43074116, 0.36673868, 0.36006922, 0.34459212, 0.29478085, 0.23633891, 0.23597738, 0.2334682, 0.22967906, 0.22854647)
Topic 50	('spermatogenesis', 'sperm', 'reproductive', 'fertilization', 'mating', 'seminal', 'offspring', 'semen', 'paternal', 'ejaculate')	(0.6415084, 0.6113429, 0.58909214, 0.5263858, 0.48519373, 0.4848078, 0.41003537, 0.40775844, 0.36013386, 0.331231)
Topic 51	('fires', 'fire', 'wildfire', 'firelihood', 'danger', 'ecological', 'vegetation', 'forest', 'areas', 'burn')	(0.5493411, 0.43351793, 0.4288946, 0.3108219, 0.24420625, 0.24295785, 0.23848988, 0.23816733, 0.23499438, 0.22904837)
Topic 52	('ecosystem', 'ecosystems', 'catchments', 'ecological', 'catchment', 'freshwater', 'macroinvertebrates', 'rivers', 'riparian', 'hydrological')	(0.5464718, 0.51872605, 0.46730942, 0.44458437, 0.43236974, 0.39036214, 0.38953903, 0.38394344, 0.37930825, 0.3776536)
Topic 53	('evolutionary', 'evolution', 'trait', 'ecological', 'ecology', 'mutation', 'genetic', 'ecosystem', 'dynamics', 'eco')	(0.529312, 0.47257745, 0.41459286, 0.4129063, 0.398055, 0.34699386, 0.34289432, 0.331832, 0.31870827, 0.3163272)
Topic 54	('soil', 'soils', 'ecosystems', 'ecosystem', 'nitrogen', 'microbial', 'grassland', 'grasslands', 'ecology', 'nitrate')	(0.48701343, 0.47297025, 0.44188446, 0.43545875, 0.40335155, 0.3992354, 0.3782706, 0.34331435, 0.34324163, 0.3357522)
Topic 55	('trees', 'forests', 'ecology', 'forest', 'tree', 'species', 'ecologie', 'scientifiques', 'tropical', 'leaf')	(0.47889814, 0.47728756, 0.47364995, 0.4138281, 0.3920384, 0.3596175, 0.34782794, 0.29680324, 0.25208953, 0.24532266)
Topic 56	('prey', 'predators', 'dispersal', 'stability', 'predator', 'predatorprey', 'trophic', 'species', 'abundances', 'abundance')	(0.41439688, 0.36990666, 0.36109477, 0.3606219, 0.3416329, 0.33723837, 0.3197613, 0.30070272, 0.29581103, 0.2816198)
Topic 57	('wolbachia', 'fungi', 'wolbachiainfected', 'fungal', 'entomopathogenic', 'strains', 'infected', 'infection', 'antibiotic', 'gracillariidae')	(0.4187969, 0.40977842, 0.4021183, 0.3563469, 0.34067446, 0.31049782, 0.3053429, 0.30323064, 0.28380162, 0.26021224)
Topic 58	('ecology', 'ecological', 'biodiversity', 'ecologists', 'scientic', 'citsci', 'scientists', 'scientific', 'research', 'journals')	(0.52823246, 0.48437715, 0.47535694, 0.45566952, 0.4180445, 0.37786448, 0.35292143, 0.35158104, 0.31839597, 0.30693442)
Topic 59	('epigenetic', 'epigenetics', 'methylation', 'genes', 'methylated', 'phenotypic', 'genomic', 'genomes', 'genome', 'genetic')	(0.5412456, 0.53814113, 0.45328796, 0.41088724, 0.3876937, 0.3853833, 0.3804176, 0.37001702, 0.36591887, 0.3515515)
Topic 60	('seabird', 'birds', 'ecology', 'bird', 'breeding', 'hal', 'scientifiques', 'reproduction', 'scientific', 'cite')	(0.45276326, 0.43982983, 0.39690638, 0.39403552, 0.28957754, 0.25196373, 0.23821989, 0.21877286, 0.2154847, 0.19711998)
Topic 61	('psi2', 'psi1', 'psi3', 'evolution', '1phi', 'ecology', '1s', 'henderson', 'onset', 'on')	(0.5399034, 0.5063697, 0.4820336, 0.19667032, 0.18537769, 0.1662425, 0.1470065, 0.14339668, 0.14182153, 0.14017761)
Topic 62	('dispersal', 'mating', 'moth', 'populations', 'predators', 'gypsy', 'predator', 'invading', 'emergence', 'trap')	(0.4396826, 0.43307322, 0.4061206, 0.34761068, 0.33501363, 0.27158177, 0.2696803, 0.24458966, 0.21451686, 0.19420776)
Topic 63	('inbreeding', 'pedigrees', 'breeding', 'genetic', 'pedigree', 'populations', 'kinship', 'alleles', 'paternal', 'groupliving')	(0.5080309, 0.50062203, 0.48687088, 0.48380908, 0.4408446, 0.42748725, 0.3994553, 0.3903401, 0.38661173, 0.36253044)
