Topic	Words	Probabilities
Topic 48	('trait', 'missing', 'imputation', 'functional', 'elbowauc', 'slope', 'skr', 'scenario', 'index', 'dimensionality')	(0.039434348633184, 0.035527566055050204, 0.0255753941464261, 0.022002970897185625, 0.017241557208450838, 0.01462499598618115, 0.014250015173029996, 0.01243193898979981, 0.01204281169330597, 0.011906507031742421)
Topic 49	('edna', 'metabarcoding', 'dna', 'depth', 'marine', 'fish', 'primer', 'biodiversity', 'mifish', 'reef')	(0.05091423314174165, 0.025576482705151362, 0.02386094686947208, 0.015569461243766429, 0.015501797540497417, 0.014796559545743425, 0.013793605175438933, 0.01127298505730078, 0.010668339627501286, 0.010144400596990916)
Topic 50	('movement', 'sensor', 'segment', 'data', 'residue', 'earwig', 'trajectory', 'animal', 'camera', 'video')	(0.03832736298417042, 0.023962877822890288, 0.01714479156302554, 0.01614758461644929, 0.01577988805165806, 0.015125324835312363, 0.015122442423787347, 0.014821724599783075, 0.014759983816850529, 0.014401624912941453)
Topic 51	('pco', 'irradiance', 'calcication', 'photosynthesis', 'light', 'algae', 'coralline', 'ge', 'calcification', 'seawater')	(0.04103131765371515, 0.029418368710155286, 0.026850743803510935, 0.024528326840687578, 0.023010193472789795, 0.022813360596078452, 0.022296309679177735, 0.02047563629422673, 0.019464786136706266, 0.019284059779298788)
Topic 52	('parasite', 'host', 'plasmodium', 'leucocytozoon', 'malaria', 'blood', 'infection', 'lineage', 'hepatocystis', 'haemosporidian')	(0.053331104678921167, 0.026675884639075182, 0.024009978106583632, 0.02386763027852322, 0.019794175300243223, 0.01831419248321508, 0.01820745560081766, 0.01745909201922301, 0.016705004431116062, 0.016665861254909164)
Topic 53	('dive', 'seal', 'diving', 'foraging', 'trip', 'weddell', 'duration', 'ddu', 'prey', 'ice')	(0.09457042933978514, 0.04147601264441882, 0.03436206984957156, 0.030590951048072874, 0.024366925248161315, 0.02359282769331974, 0.022903220492113123, 0.019752376722504177, 0.019286538918078307, 0.018455192168082328)
Topic 54	('molecular', 'marine', 'genetic', 'genetics', 'biology', 'sea', 'http', 'mediterranean', 'ecology', 'evolution')	(0.030465865928136607, 0.020788374959855617, 0.017022416300360877, 0.016461840674663643, 0.013527151279388652, 0.012390946182611124, 0.012361035592033342, 0.012104769027902132, 0.011161225136959668, 0.010364349331848788)
Topic 55	('closure', 'fishery', 'fishing', 'catch', 'stock', 'periodic', 'connectivity', 'spawning', 'balearic', 'management')	(0.044981124781501784, 0.03620383618899034, 0.03272846374448225, 0.030173826538317586, 0.02871835757272351, 0.02331439238570417, 0.020524280230975647, 0.01945777837492317, 0.017202636143623933, 0.016268773597501028)
Topic 56	('egg', 'temperature', 'parasitoid', 'stage', 'mine', 'thermal', 'host', 'heat', 'tolerance', 'microclimate')	(0.05616008765024464, 0.03265452768846006, 0.023841196604312626, 0.017877738060849597, 0.017857828449445407, 0.017485947944527777, 0.017333801817537242, 0.016060062279225663, 0.015790191495916383, 0.015704522644647063)
Topic 57	('telomere', 'troc', 'chick', 'length', 'lifespan', 'body', 'life', 'tl', 'criscuolo', 'pc')	(0.11511398892935433, 0.03321275977492049, 0.03201804060236896, 0.03056071834514424, 0.02474564089124726, 0.023829434089839095, 0.022188702583939884, 0.01695441025840714, 0.01689710620669675, 0.016544326292694544)
Topic 58	('pesticide', 'substance', 'fauna', 'insecticide', 'soil', 'herbicide', 'cognitive', 'pelosi', 'fungicide', 'study')	(0.07323632213729117, 0.02335483377725793, 0.017718345070592577, 0.016755760367328325, 0.016362944128691034, 0.016028991530243637, 0.014401350475380971, 0.01430629335662689, 0.014198383136620616, 0.01296004713672496)
Topic 59	('lidar', 'forest', 'sensing', 'remote', 'image', 'canopy', 'cover', 'agb', 'uav', 'degradation')	(0.04443755900822382, 0.03601604859287807, 0.020700608931188077, 0.01764588665176907, 0.017601131065230338, 0.01706796574946871, 0.015762146442181064, 0.015140922943500354, 0.013747330777157205, 0.013541378719151394)
Topic 60	('snake', 'teeth', 'tooth', 'dental', 'shape', 'pmm', 'mmc', 'prey', 'head', 'dentition')	(0.05346324738446223, 0.04533639230748821, 0.03576356431918348, 0.03411549549686296, 0.030273263966135697, 0.02528279943374024, 0.02417499625610471, 0.023263378448899266, 0.021713596470452293, 0.016911898147355584)
