"Topic	Words	Probabilities",,,,,,,,,,,,,,,,,,
"Topic 47	('telomeres'", 'telomere', 'telomerase', 'lifespan', 'phylogeny', 'longevity', 'phylogenetic', 'reproduction', 'offspring'," 'lengths')	(0.57828575",0.5007752,0.45415133,0.35693395,0.34062925,0.31261188,0.30159414,0.30054003,0.29437327, 0.26776946)
"Topic 48	('fires'", 'fire', 'wildfire', 'areas', 'forest', 'vegetation', 'spatial', 'ecological', 'burn'," 'burnt')	(0.5684909",0.4557315,0.43755415,0.26209357,0.2587621,0.24740994,0.24525703,0.24436772,0.24308589, 0.23669356)
"Topic 49	('evolutionary'", 'evolution', 'phenotypic', 'trait', 'ecological', 'ecology', 'mutation', 'genetic', 'ecosystem'," 'dynamics')	(0.5293119",0.47257745,0.42435867,0.41459286,0.4129063,0.398055,0.34699392,0.34289432,0.331832, 0.31870824)
"Topic 50	('spermatogenesis'", 'sperm', 'reproductive', 'fertilization', 'mating', 'seminal', 'offspring', 'semen', 'paternal'," 'ejaculate')	(0.6415084",0.61134297,0.58909214,0.5263858,0.48519373,0.48480782,0.41003537,0.40775844,0.3601339, 0.331231)
"Topic 51	('ecosystem'", 'ecosystems', 'catchments', 'catchment', 'hydrological', 'rivers', 'river', 'ecological', 'aquatic'," 'biodiversity')	(0.5486275",0.53057426,0.512517,0.48011735,0.46489698,0.46402594,0.45645905,0.44830394,0.3718031, 0.33969742)
"Topic 52	('biodiversity'", 'ecology', 'ecological', 'scientic', 'researchers', 'scientists', 'scientific', 'citsci', 'research'," 'metadata')	(0.47576112",0.45816916,0.44826782,0.40068367,0.38001215,0.37687108,0.3596052,0.34355584,0.34084368, 0.34079468)
"Topic 53	('drosophila'", 'strains', 'yakuba', 'species', 'mating', 'pigmentation', 'ventral', 'flies', 'bcyak'," 'santomea')	(0.4448639",0.36319816,0.35432827,0.33781368,0.28971708,0.26074052,0.25617155,0.24651366,0.24379505, 0.21562374)
"Topic 54	('soil'", 'soils', 'grassland', 'ecosystem', 'nitrogen', 'grasslands', 'nitrate', 'ecology', 'microbial'," 'plants')	(0.51616967",0.5061413,0.4289587,0.4287684,0.41940072,0.39018697,0.3666246,0.3428537,0.3372569, 0.32261777)
"Topic 55	('agromyzidae'", 'species', 'aphididae', 'asteraceae', 'herbivore', 'tephritidae', 'oleraceus', 'spinus', 'chloris'," 'philaenus')	(0.41778925",0.40831453,0.40706694,0.3948652,0.38013622,0.35354105,0.32330072,0.32193184,0.31519896, 0.2872883)
"Topic 56	('pollinators'", 'pollinating', 'pollinator', 'wasps', 'figs', 'sycophila', 'fig', 'wasp', 'species'," 'trees')	(0.500348",0.49177918,0.4547894,0.4477232,0.44206077,0.4222461,0.40984994,0.37848246,0.37261552, 0.36547083)
"Topic 57	('populations'", 'population', 'demographic', 'stochasticity', 'stochastic', 'species', 'reproduction', 'growth', 'survival'," 'lifecycle')	(0.4910084",0.38396263,0.3707603,0.34403473,0.33268043,0.33213788,0.32056904,0.3139406,0.28696442, 0.23463267)
"Topic 58	('teeth'", 'snakes', 'tooth', 'snake', 'dentary', 'molars', 'vertebrates', 'dentition', 'dental'," 'mammals')	(0.51406384",0.46615505,0.446099,0.4309784,0.42785978,0.4088245,0.37800974,0.37705907,0.3725046, 0.32412216)
"Topic 59	('wolbachia'", 'fungi', 'wolbachiainfected', 'fungal', 'entomopathogenic', 'strains', 'infected', 'infection', 'antibiotic'," 'gracillariidae')	(0.41879693",0.40977845,0.4021183,0.35634688,0.3406745,0.31049782,0.30534297,0.30323064,0.2838016, 0.2602122)
"Topic 60	('forests'", 'trees', 'ecology', 'forest', 'tree', 'species', 'scientifiques', 'tropical', 'research'," 'archive')	(0.50601304",0.5045901,0.4750049,0.44328007,0.41482353,0.38211796,0.3016902,0.26166686,0.23465526, 0.22429469)
"Topic 61	('seabirds'", 'seabird', 'birds', 'ecology', 'bird', 'breeding', 'hal', 'scientifiques', 'scientific'," 'cite')	(0.5112036",0.45276326,0.4398298,0.39690638,0.39403546,0.2895775,0.25196373,0.23821992,0.21548468, 0.19712)
"Topic 62	('epigenetic'", 'epigenetics', 'methylation', 'genes', 'methylated', 'phenotypic', 'genomic', 'genomes', 'genome'," 'genetic')	(0.5412456",0.53814113,0.45328796,0.41088724,0.38769367,0.3853833,0.3804176,0.37001705,0.3659189, 0.3515515)
"Topic 63	('owls'", 'predation', 'owl', 'breeding', 'reproduction', 'prey', 'reproductive', 'goshawks', 'goshawk'," 'abundance')	(0.5309645",0.49064198,0.43698534,0.4240296,0.36715767,0.32879823,0.32647133,0.2954919,0.25397998, 0.24733943)
"Topic 64	('sapotaceae'", 'seeds', 'dispersal', 'myristicaceae', 'fruits', 'plants', 'seed', 'fruit', 'species'," 'fruiting')	(0.5250064",0.480075,0.43995118,0.433352,0.421989,0.4209308,0.41146496,0.3936748,0.3768174, 0.3764892)
"Topic 65	('dispersal'", 'mating', 'moth', 'populations', 'predators', 'gypsy', 'predator', 'invading', 'emergence'," 'trap')	(0.4396826",0.43307322,0.4061206,0.34761065,0.33501363,0.27158174,0.26968023,0.24458966,0.21451688, 0.19420774)
