Topic	Words	Probabilities
Topic 25	['fungal', 'soil', 'am', 'fungi', 'plant', 'ecm', 'root', 'communities', 'community', 'roots', 'the', 'in', 'of', 'and', 'composition']	[0.05020328333255485, 0.027510667638026932, 0.02419430054612311, 0.023269150042410886, 0.022444740453585073, 0.021122494377300502, 0.017925959597011293, 0.01706585870612772, 0.01609663879398299, 0.012908296953416111, 0.012776527204056042, 0.012495011401168047, 0.012232454502480776, 0.011888874031223096, 0.010836920006053035]
Topic 26	['sphagnum', 'microbial', 'peatland', 'phototrophic', 'peat', 'peatlands', 'and', 'in', 'the', 'traits', 'of', 'plant', 'al', 'et', 'testate']	[0.04779185173082211, 0.026932610740780898, 0.018748623693480137, 0.01836048828210644, 0.018025562377884153, 0.015942527452131074, 0.01441025448744953, 0.012707401890439878, 0.012249955601028996, 0.011581992961102234, 0.011403327897246187, 0.010747943490229256, 0.01072428353204557, 0.01066239367821023, 0.01052228785016857]
Topic 27	['perturbations', 'disturbance', 'patch', 'stability', 'perturbation', 'biomass', 'prey', 'disturbances', 'asymmetry', 'the', 'of', 'si', 'perturbed', 'species', 'time']	[0.02856124855243082, 0.023069161978938945, 0.022934382446345884, 0.022234843607757283, 0.019868154577956352, 0.01980121832701004, 0.017745803772337955, 0.01621697208459044, 0.01612934066781562, 0.01517033656601362, 0.014709220758342132, 0.014461043840535514, 0.014365992764980377, 0.013825750317836071, 0.013120991479384529]
Topic 28	['na', '00', 'betweenness', '000', 'strength', '003', '004', '005', 'bac', '001', '50', '0001', '10', '11', 'al']	[0.023415380951145127, 0.019877761905343183, 0.017367606801394903, 0.01364063470619457, 0.013143896047813014, 0.012842562745772898, 0.012506389500566375, 0.01194784244345843, 0.011320690743997622, 0.010621438127761205, 0.010449473728585566, 0.010342151714311366, 0.01021422885484131, 0.0100705398151367, 0.00995376736531466]
Topic 29	['m7', 'bm', 'mb', 'lc', '1b', 'm1', 'ou', 'om', 'uvb', 'rul', 'nt', '1oo', 'vv', 'uom', '7b']	[0.1188155827737792, 0.10339961499249375, 0.09769440709444158, 0.07508377552931998, 0.07163156128553844, 0.06960480562985702, 0.06214093004989287, 0.06101273062775699, 0.05236562822423092, 0.045321770341519345, 0.04507645016051634, 0.04346647601047926, 0.04288356477779217, 0.042352659513181616, 0.040733816163616376]
Topic 30	['tree', 'leaf', 'damage', 'herbivory', 'trees', 'oak', 'insect', 'phylogenetically', 'on', 'mildew', 'forest', 'phylogenetic', 'isolation', 'herbivores', 'effects']	[0.03301855023423024, 0.02942613682516452, 0.02342138773323648, 0.02224367013483844, 0.021465654769897854, 0.021180549741259186, 0.016217881698796663, 0.014935470375193502, 0.014719748131062811, 0.014321746551557947, 0.01374804358672581, 0.01337478862740364, 0.013242760882229778, 0.013049536282728034, 0.012908705897168506]
Topic 31	['bat', 'bats', 'solar', 'foraging', 'wind', 'roosts', 'pipistrellus', 'activity', 'roost', 'to', 'turbine', 'the', 'hedgerows', 'and', 'of']	[0.035994740352494156, 0.026747097240525507, 0.025115011791385013, 0.016295986373826246, 0.015661443465479007, 0.015052880922856159, 0.013450225045413194, 0.013435244393150086, 0.01338167770026145, 0.012970671289359111, 0.012701615995504156, 0.012359070441194484, 0.012214053624531892, 0.011509199615852861, 0.011205049473935474]
Topic 32	['observers', 'the', 'of', 'sampling', 'trend', 'to', 'conservation', 'counts', 'observer', 'for', 'trends', 'data', 'area', 'in', 'and']	[0.01875091471299392, 0.015310857843591125, 0.013435018817032456, 0.012855873463214438, 0.012654310857184277, 0.012583016151831012, 0.012562371432623712, 0.012182319676763047, 0.011911514071933195, 0.011465381870769602, 0.01125807746972154, 0.011214899601561886, 0.01110777458778433, 0.010981653176495298, 0.010462739532406673]
Topic 33	['equal', 'writing', 'supporting', 'editing', 'review', 'lead', 'investigation', 'draft', 'conceptualization', 'methodology', 'curation', 'https', 'supervision', 'original', 'validation']	[0.25628978777025696, 0.12253962638768845, 0.11962583565935776, 0.11154988577884417, 0.07293942362134939, 0.06754332486101443, 0.06659919248941064, 0.06151979945058267, 0.05918047211214934, 0.05853968226357387, 0.04612083890045644, 0.04450565020594398, 0.04311519920944106, 0.04050142927895166, 0.04012524313930925]
Topic 34	['flowering', 'floral', 'plant', 'pollinator', 'flower', 'segetum', 'seed', 'jacea', 'pollinators', 'urbanization', 'focal', 'species', 'urban', 'plants', 'and']	[0.025853178050958655, 0.02559871991359403, 0.025261431678379177, 0.023209192632025533, 0.019029896171884792, 0.018644083057424737, 0.016872808897838702, 0.01596979449837638, 0.015936821202289914, 0.014335749121389673, 0.014047123134051773, 0.013670955326495305, 0.01330480023868582, 0.012999279738858458, 0.012865177396833129]
Topic 35	['cumming', 'resilience', 'pas', 'biggs', 'multiscale', 'protected', 'and', 'local', 'conservation', 'approach', 'to', 'mathevet', 'capacity', 'adaptive', 'of']	[0.03295465259317299, 0.028119822094823554, 0.02235750569755762, 0.02168006574548596, 0.019274213187993227, 0.017092892472464972, 0.016391837494290955, 0.014578258674677618, 0.014181250656318752, 0.013983398677031977, 0.013478285707415846, 0.012817792960255134, 0.012222346918393908, 0.012015624038393841, 0.01198069765788764]
Topic 36	['phytoplankton', 'temperature', 'nutrient', 'thermal', 'the', 'heat', 'to', 'growth', 'species', 'and', 'at', 'stress', 'of', 'in', 'for']	[0.028673246227251106, 0.02764268648266037, 0.01759063924283905, 0.017431438282476144, 0.014460613696554712, 0.013040044780820777, 0.012830252504506031, 0.012424023074733672, 0.01171408936628868, 0.011545738046708585, 0.011037172045960367, 0.010939841859668701, 0.010796834435124298, 0.010693615535719824, 0.010583254148624082]
Topic 37	['rattus', 'rodent', 'rodents', 'musculus', 'and', 'the', 'trapping', 'of', 'in', 'species', 'to', 'invasion', 'norvegicus', 'al', 'et']	[0.025273452367256997, 0.024842760793729192, 0.016060147611083514, 0.015553145444574807, 0.013619903219553772, 0.01272623262355435, 0.012367097380731313, 0.012341738104412752, 0.011598088223834768, 0.010900570638862616, 0.010799242717684928, 0.01059379795556249, 0.010561675890118898, 0.010419085678688786, 0.010201129642427188]
Topic 38	['mass', 'body', 'birth', 'growth', 'date', 'antler', 'age', 'females', 'kg', 'adult', 'early', 'gaillard', 'life', 'males', 'individual']	[0.050794520606088724, 0.04441499758637474, 0.036207109051409544, 0.026879918857034554, 0.0236397161038285, 0.021913650732265436, 0.018689887311530682, 0.01856004373299391, 0.01657266756309372, 0.016023881429398052, 0.015736294496219612, 0.015076628234347612, 0.014277043798127748, 0.013706748393261659, 0.013507554622204751]
Topic 39	['fire', 're', 'fires', 'fwi', 'caledonia', 'model', 'forest', 'new', 'risk', 'the', 'burnt', 'and', 'of', 'escaped', 'applications']	[0.0546191815952358, 0.021294155719695798, 0.019879569763743582, 0.01821718479803036, 0.01817091139457583, 0.015524593801194439, 0.014507654350035133, 0.014444340902794554, 0.01389126718634527, 0.013852885072588866, 0.013622361417816883, 0.012704550569903734, 0.01269579257580575, 0.012640495574143517, 0.011613376805760713]
Topic 40	['islands', 'island', 'atolls', 'atoll', 'endemic', 'species', 'the', 'of', 'and', 'lava', 'speciation', 'archipelago', 'to', 'richness', 'endemics']	[0.042440185654710964, 0.031518718619893624, 0.02404173834610481, 0.01667646001173004, 0.014765682214931922, 0.013980030876803044, 0.01258030402624827, 0.01210639110128132, 0.011751983223413965, 0.011639506965114113, 0.011449122312915653, 0.011412166036238711, 0.011239772777192033, 0.011237258863829449, 0.010882933579183856]
Topic 41	['aphid', 'aphids', 'diapause', 'parasitoid', 'on', 'parasitoids', 'persicae', 'host', 'viruliferous', 'the', 'and', 'mpdnv', 'were', 'cereal', 'in']	[0.0592938995163448, 0.039407974980742985, 0.02146154260658007, 0.0192188002745321, 0.014451894892709318, 0.013591562101551886, 0.013558868183134665, 0.013444406800385984, 0.012592619833495003, 0.012427191082561921, 0.011913206985956501, 0.011906493936788068, 0.011292415866839005, 0.011270866160736588, 0.01114964754903199]
Topic 42	['urban', 'urbanization', 'urbanisation', 'nonurban', 'in', 'al', 'et', 'variation', 'environments', 'and', 'phenotypic', 'urbanised', 'of', 'habitats', 'to']	[0.05609375042071225, 0.022354691795802326, 0.01921367155059682, 0.017868614391744097, 0.013951120731426877, 0.013568799146555684, 0.01330242448818064, 0.012869626691278429, 0.01226699845222209, 0.012129319579169209, 0.012065403503502832, 0.011613583387323823, 0.011527329233824464, 0.01080630175655406, 0.010586899630993364]
