,node,source,fa_score,la_score,size,abs_fa_score,abs_la_score,feature_name
77,"('GBIF:7073593', 'Phaeophyceae')",class,-0.333333333,-0.333333333,3,0.3333333333333333,0.3333333333333333,"class_tuple_Count_('GBIF:7073593', 'Phaeophyceae')"
78,"('GBIF:255', 'Clitellata')",class,-1,-1,1,1,1,"class_tuple_Count_('GBIF:255', 'Clitellata')"
79,"('GBIF:361', 'Diplopoda')",class,-1,-1,1,1,1,"class_tuple_Count_('GBIF:361', 'Diplopoda')"
80,"('GBIF:9796761', 'Mucoromycetes')",class,1,-1,1,1,1,"class_tuple_Count_('GBIF:9796761', 'Mucoromycetes')"
81,"('GBIF:358', 'Reptilia')",class,-0.5,-0.5,4,0.5,0.5,"class_tuple_Count_('GBIF:358', 'Reptilia')"
82,"('GBIF:10689325', 'Rhizophydiomycetes')",class,-1,-1,1,1,1,"class_tuple_Count_('GBIF:10689325', 'Rhizophydiomycetes')"
83,"('GBIF:183', 'Dothideomycetes')",class,0,-0.25,4,0,0.25,"class_tuple_Count_('GBIF:183', 'Dothideomycetes')"
84,"('GBIF:190', 'Sphagnopsida')",class,0.6666666666666666,-0.5,6,0.6666666666666666,0.5,"class_tuple_Count_('GBIF:190', 'Sphagnopsida')"
85,"('GBIF:327', 'Bryopsida')",class,1,-0.5,2,1,0.5,"class_tuple_Count_('GBIF:327', 'Bryopsida')"
86,"('GBIF:203', 'Maxillopoda')",class,-1,-1,3,1,1,"class_tuple_Count_('GBIF:203', 'Maxillopoda')"
87,"('GBIF:180', 'Lecanoromycetes')",class,1,-1,2,1,1,"class_tuple_Count_('GBIF:180', 'Lecanoromycetes')"
88,"('GBIF:10792796', 'Candelariomycetes')",class,1,-1,1,1,1,"class_tuple_Count_('GBIF:10792796', 'Candelariomycetes')"
89,"('GBIF:233', 'Filosia')",class,1,-1,1,1,1,"class_tuple_Count_('GBIF:233', 'Filosia')"
90,"('GBIF:12259753', 'Polytrichopsida')",class,1,-1,1,1,1,"class_tuple_Count_('GBIF:12259753', 'Polytrichopsida')"
91,"('GBIF:116', 'Lobosa')",class,1,-1,1,1,1,"class_tuple_Count_('GBIF:116', 'Lobosa')"
92,"('GBIF:342', 'Florideophyceae')",class,1,-1,2,1,1,"class_tuple_Count_('GBIF:342', 'Florideophyceae')"
93,"('GBIF:10814827', 'Leptospirae')",class,-1,1,1,1,1,"class_tuple_Count_('GBIF:10814827', 'Leptospirae')"
94,"('GBIF:10860289', 'Campylobacteria')",class,1,1,1,1,1,"class_tuple_Count_('GBIF:10860289', 'Campylobacteria')"
95,"('GBIF:256', 'Polychaeta')",class,-0.25,1,2,0.25,1,"class_tuple_Count_('GBIF:256', 'Polychaeta')"
96,"('GBIF:126', 'Jungermanniopsida')",class,1,-1,1,1,1,"class_tuple_Count_('GBIF:126', 'Jungermanniopsida')"
97,"('GBIF:221', 'Echinoidea')",class,0,-1,2,0,1,"class_tuple_Count_('GBIF:221', 'Echinoidea')"
98,"('GBIF:182', 'Saccharomycetes')",class,-1,-1,1,1,1,"class_tuple_Count_('GBIF:182', 'Saccharomycetes')"
99,"('GBIF:222', 'Holothuroidea')",class,1,1,1,1,1,"class_tuple_Count_('GBIF:222', 'Holothuroidea')"
100,"('GBIF:198', 'Bangiophyceae')",class,1,-1,1,1,1,"class_tuple_Count_('GBIF:198', 'Bangiophyceae')"
101,"('GBIF:176', 'Cubozoa')",class,1,-1,1,1,1,"class_tuple_Count_('GBIF:176', 'Cubozoa')"
102,"('GBIF:7228684', 'Polypodiopsida')",class,1,-1,1,1,1,"class_tuple_Count_('GBIF:7228684', 'Polypodiopsida')"
103,"('GBIF:809', 'Hemiptera')",order,0.2037037037037037,-0.37037037,27,0.2037037037037037,0.37037037037037035,"order_tuple_Count_('GBIF:809', 'Hemiptera')"
104,"('GBIF:587', 'Perciformes')",order,0.074257426,-0.485148515,101,0.074257426,0.48514851485148514,"order_tuple_Count_('GBIF:587', 'Perciformes')"
105,"('GBIF:1153', 'Cypriniformes')",order,0.16666666666666666,-0.583333333,24,0.16666666666666666,0.5833333333333334,"order_tuple_Count_('GBIF:1153', 'Cypriniformes')"
106,"('GBIF:714', 'Scleractinia')",order,0,-0.166666667,12,0,0.16666666666666666,"order_tuple_Count_('GBIF:714', 'Scleractinia')"
107,"('GBIF:455', 'Architaenioglossa')",order,-1,0,1,1,0,"order_tuple_Count_('GBIF:455', 'Architaenioglossa')"
108,"('GBIF:1457', 'Hymenoptera')",order,0.094117647,-0.541176471,85,0.094117647,0.5411764705882353,"order_tuple_Count_('GBIF:1457', 'Hymenoptera')"
109,"('GBIF:1446', 'Columbiformes')",order,-0.692307692,-0.692307692,13,0.6923076923076923,0.6923076923076923,"order_tuple_Count_('GBIF:1446', 'Columbiformes')"
110,"('GBIF:729', 'Passeriformes')",order,-0.163157895,-0.478947368,95,0.1631578947368421,0.4789473684210526,"order_tuple_Count_('GBIF:729', 'Passeriformes')"
111,"('GBIF:732', 'Carnivora')",order,0.046153846153846156,-0.323076923,65,0.046153846153846156,0.3230769230769231,"order_tuple_Count_('GBIF:732', 'Carnivora')"
112,"('GBIF:1470', 'Coleoptera')",order,0.3382352941176471,-0.5,34,0.3382352941176471,0.5,"order_tuple_Count_('GBIF:1470', 'Coleoptera')"
113,"('GBIF:1458', 'Orthoptera')",order,-0.428571429,-0.142857143,7,0.42857142857142855,0.14285714285714285,"order_tuple_Count_('GBIF:1458', 'Orthoptera')"
114,"('GBIF:811', 'Diptera')",order,0.12,-0.17,50,0.12,0.17,"order_tuple_Count_('GBIF:811', 'Diptera')"
115,"('GBIF:941', 'Malvales')",order,0.20930232558139536,-0.209302326,43,0.20930232558139536,0.20930232558139536,"order_tuple_Count_('GBIF:941', 'Malvales')"
116,"('GBIF:1108', 'Anseriformes')",order,-0.333333333,-0.537037037,27,0.3333333333333333,0.5370370370370371,"order_tuple_Count_('GBIF:1108', 'Anseriformes')"
117,"('GBIF:1414', 'Malpighiales')",order,0.23469387755102042,-0.255102041,49,0.23469387755102042,0.25510204081632654,"order_tuple_Count_('GBIF:1414', 'Malpighiales')"
118,"('GBIF:947', 'Dilleniales')",order,-1,-1,1,1,1,"order_tuple_Count_('GBIF:947', 'Dilleniales')"
119,"('GBIF:412', 'Gentianales')",order,0.2,-0.35,20,0.2,0.35,"order_tuple_Count_('GBIF:412', 'Gentianales')"
120,"('GBIF:1370', 'Fabales')",order,0.064705882,-0.247058824,85,0.064705882,0.24705882352941178,"order_tuple_Count_('GBIF:1370', 'Fabales')"
121,"('GBIF:690', 'Myrtales')",order,-0.058823529,-0.470588235,17,0.058823529411764705,0.47058823529411764,"order_tuple_Count_('GBIF:690', 'Myrtales')"
122,"('GBIF:933', 'Sapindales')",order,0.16129032258064516,-0.387096774,31,0.16129032258064516,0.3870967741935484,"order_tuple_Count_('GBIF:933', 'Sapindales')"
123,"('GBIF:1369', 'Poales')",order,0.10215053763440861,-0.349462366,93,0.10215053763440861,0.34946236559139787,"order_tuple_Count_('GBIF:1369', 'Poales')"
124,"('GBIF:551', 'Alismatales')",order,-0.368421053,-0.578947368,19,0.3684210526315789,0.5789473684210527,"order_tuple_Count_('GBIF:551', 'Alismatales')"
