,bt5,bt6,bt7,bt8,bt9,bt10,bt11,bt12,bt13,lda6
Topic 39,13.91131794538462,8.046753816242285,19.577407983640462,0.6220794125583559,0.24594011526886486,0.7436235604578794,13.553238897215246,7.343181274298631,7.640087867550771,
Topic 40,9.35172866237006,10.191228383185916,10.045760160573785,0.6611242467185933,0.5424888783483256,0.500763058887645,9.8838082889341,11.502441332227233,4.957672829722679,
Topic 41,4.080984842569023,13.371358756447883,14.796196855116875,0.49776931232148663,0.6277747198042716,0.8960266976816365,13.49476725688883,13.725432146801204,9.760796341738152,
Topic 42,9.340720430179166,11.002957114181005,10.185653930159772,0.41133918492347366,0.7303661044622187,0.7118009773484977,10.69506376829272,13.494767075034304,3.5088708326257354,
Topic 43,13.09889566474359,7.988759023442389,8.8994092299777,0.5669992175177991,0.3645511440440923,1.058490641201262,10.767469202517598,9.646043669939827,9.739617386763806,
Topic 44,9.537195363249797,12.495667738993916,10.597941464179955,0.4133568921943805,0.7193104956608372,0.9661972923746887,4.446179795306507,13.17637102616051,10.746016726681756,
Topic 45,13.799962683512895,9.262525753613016,9.65673477427534,0.7580847059372045,0.4133333297094678,1.1243774082406435,14.503026440012336,10.75144554512811,9.855754626462886,
Topic 46,4.781502907966376,8.954962749481338,9.896014584827984,0.4477050712351299,0.47470135953674947,1.3213076702790063,10.597941077495452,9.98638403029251,9.896100033311654,
Topic 47,9.772194359744818,10.597941343176416,15.910898034543,0.7985637569482473,1.0857950717138334,0.7870696264167275,11.845270625125355,14.503026438530872,10.597941485389143,
Topic 48,7.545290428838315,6.8319234340455335,13.17637110307401,0.3932576504093989,0.5604991481461244,0.6993853465430884,8.954962528694121,8.954962405348894,7.392293853258259,
Topic 49,7.803394788507157,6.318767768518057,11.534040555868904,1.0142087146583039,0.591756076657548,1.08012943846408,8.597358493834335,10.597941444573182,12.059481282334968,
Topic 50,11.682670268962179,18.9537973706936,18.95379675620082,0.4895327450551034,0.8155335722744441,0.5050397903310351,10.746701868277942,10.695064105424033,9.546123166079097,
Topic 51,5.363953136130426,7.625072111638373,8.690573810337515,0.7454537464936,0.5347985800382374,1.1325587537148825,12.05948162304799,12.014768178369511,6.31876790874349,
Topic 52,9.784988847827103,6.2292173958095525,7.813884257840348,0.2795625748329713,0.8423609225747282,1.0212055581710746,13.21604525030573,7.392293333196717,14.921507025643265,
Topic 53,10.006181321423503,11.852963914944194,5.281953745233128,0.49916425891729865,0.9544788353335584,1.8425575455761112,20.893318855794252,20.893318659924525,20.89331920134212,
Topic 54,7.805770567191062,6.660419875490595,5.117221933446041,0.9206436777996804,0.6291654914259288,0.7063084630006699,6.318767709412249,7.817295967669697,13.216045496862112,
Topic 55,9.960888481879856,19.947645490560436,6.724887452594964,0.10651238095411725,0.5046848376820033,0.716253929350525,7.718502036111838,13.352436545502671,16.913204907973743,
Topic 56,10.755425524495863,12.526899111098158,7.568717840094653,0.7372068452995278,1.146604147556764,0.6702174149867701,4.222406671656171,7.598155612049023,7.72502024558941,
Topic 57,9.520461928911114,7.236080506810955,13.188850066990383,0.8377597355752405,0.27474611669261234,1.1392076475009454,9.382963802329025,5.0991233144501384,7.081065839905444,
Topic 58,10.028574564326991,14.921506900424033,6.474065936683207,0.919275764531187,0.2639691886943084,0.5691315885099192,7.58688308405466,7.372933133533026,7.467815626532002,
Topic 59,10.539087137800392,13.188850642050266,13.640006118652627,0.36571735036998404,1.3905882959955744,1.4558692095705932,5.964973987143419,8.138928592584309,14.680755070511347,
Topic 60,10.91625131068742,7.234993083118732,4.268384932080709,0.6291974290544381,0.7690899099895299,1.0693224150260956,12.526898890310942,6.7962945637995045,15.103901010242938,
Topic 61,8.64009957588622,3.968805926974585,1.5782370238896566,1.1296321340170308,,0.6171216053133066,7.97489894488087,22.061964719075185,6.48175530577058,
Topic 62,5.871565001457594,13.640006022287023,7.341539175128154,0.8530961370174365,,1.4033778993057566,15.103901297884464,12.52689870278995,12.526898890310942,
Topic 63,10.588638040920939,7.5952206820701145,9.755553039800578,0.2720402858925379,,0.41926883198348325,14.313225197706101,15.103901832880878,14.313225409429318,
